,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
86,6958361,27,9e Arrondissement,58%,80%,Entire home/apt,36,85.0,"['email', 'phone']",1 bath,307.0,Florence,1278641,1.0,bath,1278641
87,5426649,29,6e Arrondissement,61%,100%,Private room,27,58.0,"['email', 'phone']",1 bath,1000.0,Eleonore,1281862,1.0,bath,1281862
88,7124610,52,3e Arrondissement,75%,100%,Entire home/apt,42,75.0,"['email', 'phone']",1 bath,721.0,Carine,1310835,1.0,bath,1310835
89,7212199,239,5e Arrondissement,84%,100%,Entire home/apt,58,275.0,"['email', 'phone']",2 baths,1000.0,Emma,1329229,2.0,baths,1329229
90,3103951,8,9e Arrondissement,59%,93%,Private room,23,718.0,"['email', 'phone']",3 baths,624.0,Agnès,1341551,3.0,baths,1341551
91,1651032,20,9e Arrondissement,33%,100%,Private room,20,40.0,"['email', 'phone', 'work_email']",1 shared bath,1000.0,Cédric,1357034,1.0,shared bath,1357034
92,7438280,62,7e Arrondissement,78%,100%,Entire home/apt,35,55.0,"['email', 'phone']",1 bath,1000.0,Xavier,1372080,1.0,bath,1372080
93,3670240,74,6e Arrondissement,54%,100%,Entire home/apt,28,89.0,"['email', 'phone']",1 bath,1000.0,Riva,1377016,1.0,bath,1377016
95,7438280,10,6e Arrondissement,78%,100%,Entire home/apt,19,250.0,"['email', 'phone']",1 bath,1000.0,Xavier,1379077,1.0,bath,1379077
96,7438280,84,7e Arrondissement,78%,100%,Entire home/apt,21,52.0,"['email', 'phone']",1 bath,1000.0,Xavier,1383614,1.0,bath,1383614
98,7563550,61,1er Arrondissement,100%,100%,Entire home/apt,46,57.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Eric,1400666,1.0,bath,1400666
99,5551686,11,7e Arrondissement,100%,100%,Entire home/apt,54,140.0,"['email', 'phone']",2 baths,1000.0,Boris,1410219,2.0,baths,1410219
100,7651159,45,7e Arrondissement,100%,100%,Entire home/apt,11,58.0,"['email', 'phone']",1 bath,596.0,Elise,1421295,1.0,bath,1421295
103,7848775,442,1er Arrondissement,100%,100%,Entire home/apt,20,70.0,['phone'],1 bath,351.0,Hélène,1465097,1.0,bath,1465097
104,7914041,76,5e Arrondissement,97%,100%,Private room,48,41.0,"['email', 'phone', 'work_email']",1 shared bath,1000.0,Fred,1478962,1.0,shared bath,1478962
105,7993187,0,2e Arrondissement,0%,0%,Private room,6,50.0,['email'],1 bath,791.0,Sophie,1495384,1.0,bath,1495384
106,3038226,8,1er Arrondissement,92%,100%,Entire home/apt,26,65.0,"['email', 'phone']",1 bath,1000.0,Sophie,1497267,1.0,bath,1497267
107,3038226,18,1er Arrondissement,92%,100%,Entire home/apt,26,75.0,"['email', 'phone']",1 bath,1000.0,Sophie,1497665,1.0,bath,1497665
108,8040128,241,4e Arrondissement,73%,95%,Private room,7,43.0,"['email', 'phone']",1 bath,654.0,Isabelle & Daniel,1504801,1.0,bath,1504801
109,5362527,4,1er Arrondissement,46%,100%,Entire home/apt,26,90.0,"['phone', 'work_email']",1 bath,744.0,Alexandre,1519096,1.0,bath,1519096
111,8261406,85,6e Arrondissement,62%,100%,Private room,11,44.0,"['email', 'phone']",1 bath,553.0,Dominique,1551101,1.0,bath,1551101
112,8263031,246,2e Arrondissement,100%,100%,Private room,14,49.0,"['email', 'phone']",1 shared bath,1000.0,Dominique,1551679,1.0,shared bath,1551679
114,5931758,59,1er Arrondissement,100%,100%,Entire home/apt,25,101.0,"['email', 'phone']",1 bath,1000.0,2beapart,1559193,1.0,bath,1559193
116,8647958,30,1er Arrondissement,80%,100%,Entire home/apt,42,68.0,"['email', 'phone']",1 bath,1000.0,Michelle,1626767,1.0,bath,1626767
118,7069472,18,3e Arrondissement,67%,100%,Private room,17,50.0,"['email', 'phone']",1 private bath,1000.0,Marie-Sylvie Et Klaus,1651110,1.0,private bath,1651110
119,7263309,70,4e Arrondissement,83%,100%,Entire home/apt,18,150.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Alexandre Et Amandine,1654767,2.0,baths,1654767
122,8647605,386,5e Arrondissement,59%,67%,Entire home/apt,22,73.0,"['email', 'phone']",1 bath,686.0,Laëtitia,1674703,1.0,bath,1674703
