,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
47,57485129,0,Hendaye,0%,0%,Private room,7,45.0,"['email', 'phone']",1 private bath,455.0,Maite,552845428791500931,1.0,private bath,552845428791500931
48,349658215,8,Boucau,92%,67%,Entire home/apt,26,50.0,"['email', 'phone']",1 bath,1000.0,Alain,50226600,1.0,bath,50226600
50,75982135,4,Boucau,85%,100%,Private room,52,103.0,"['email', 'phone']",1 private bath,553.0,Hélène,14252384,1.0,private bath,14252384
52,51629844,72,Boucau,100%,100%,Entire home/apt,48,72.0,"['email', 'phone']",1 bath,1000.0,Gilles,10465233,1.0,bath,10465233
53,459870025,2,Guiche,92%,100%,Entire home/apt,60,357.0,"['email', 'phone']",4 baths,1000.0,Thomas,630230024701563498,4.0,baths,630230024701563498
54,418135407,4,Hendaye,100%,90%,Entire home/apt,29,256.0,"['email', 'phone']",3 baths,1000.0,Basquelidays,51616690,3.0,baths,51616690
55,24962790,45,Sainte-EngrÃ¢ce,71%,100%,Entire home/apt,26,81.0,"['email', 'phone']",1 bath,1000.0,Alexandre,9640613,1.0,bath,9640613
56,174132969,18,Hendaye,100%,100%,Entire home/apt,41,261.0,"['email', 'phone']",2 baths,883.0,Castor,32300878,2.0,baths,32300878
57,139586619,1,Guiche,78%,100%,Entire home/apt,51,740.0,"['email', 'phone']",4 baths,1000.0,Nathalie,48276015,4.0,baths,48276015
58,411250348,7,Boucau,61%,100%,Entire home/apt,36,69.0,"['email', 'phone']",1 bath,509.0,Karine,50988909,1.0,bath,50988909
59,47626071,109,Boucau,99%,100%,Entire home/apt,53,70.0,"['email', 'phone']",2 baths,1000.0,Florence,43679984,2.0,baths,43679984
60,2205453,10,ArnÃ©guy,100%,83%,Entire home/apt,32,97.0,"['email', 'phone']",1 bath,236.0,Mendiola,27420618,1.0,bath,27420618
61,208888894,5,Boucau,100%,100%,Private room,10,55.0,"['email', 'phone']",1 private bath,593.0,Marc-Antoine,654973715945393540,1.0,private bath,654973715945393540
62,418135407,3,Hendaye,100%,90%,Entire home/apt,28,240.0,"['email', 'phone']",2 baths,1000.0,Basquelidays,624535982657412051,2.0,baths,624535982657412051
63,443963962,2,Boucau,97%,91%,Entire home/apt,42,89.0,"['email', 'phone']",1 bath,1000.0,Guest,643871199917098008,1.0,bath,643871199917098008
64,80463557,5,Hendaye,100%,100%,Entire home/apt,25,345.0,"['email', 'phone']",3 baths,1000.0,"Smiling Rentals, S.L.",600867733274572104,3.0,baths,600867733274572104
65,120360307,21,Boucau,100%,100%,Entire home/apt,31,50.0,['phone'],1 bath,561.0,Frederic,17676864,1.0,bath,17676864
66,114454069,3,Boucau,100%,100%,Entire home/apt,31,55.0,"['email', 'phone']",2 baths,891.0,Nora,656312163187585292,2.0,baths,656312163187585292
67,96761400,9,Sames,67%,100%,Entire home/apt,30,95.0,"['email', 'phone']",1 bath,1000.0,Karine,15224619,1.0,bath,15224619
68,195396134,45,Hendaye,100%,100%,Entire home/apt,29,165.0,"['email', 'phone']",1 bath,1000.0,Arantza,26386940,1.0,bath,26386940
69,117422992,20,Hendaye,99%,100%,Entire home/apt,30,275.0,"['email', 'phone', 'work_email']",4 baths,571.0,Basquenjoy,19688830,4.0,baths,19688830
71,71078565,17,Boucau,76%,100%,Entire home/apt,7,58.0,"['email', 'phone']",1 bath,522.0,Ophelie,588012590604157434,1.0,bath,588012590604157434
73,75982135,0,Boucau,85%,100%,Private room,34,94.0,"['email', 'phone']",1 private bath,1000.0,Hélène,44470539,1.0,private bath,44470539
74,9460789,6,Hendaye,96%,100%,Private room,38,111.0,"['email', 'phone']",1 private bath,888.0,Romy,44945543,1.0,private bath,44945543
75,258887134,19,Hendaye,81%,90%,Private room,26,42.0,"['email', 'phone', 'work_email']",1 shared 1 half-bath,779.0,Tania,36836195,1.0,shared 1 half-bath,36836195
76,57011722,2,Boucau,100%,100%,Entire home/apt,32,69.0,"['email', 'phone']",1 bath,473.0,Laurent,641341846233195872,1.0,bath,641341846233195872
77,102168667,32,Boucau,100%,100%,Private room,16,47.0,"['email', 'phone']",1 private bath,752.0,Frederique,15792414,1.0,private bath,15792414
79,80463557,9,Hendaye,100%,100%,Entire home/apt,23,190.0,"['email', 'phone']",1 bath,1000.0,"Smiling Rentals, S.L.",30037278,1.0,bath,30037278
80,348180715,24,Boucau,100%,100%,Entire home/apt,31,44.0,"['email', 'phone']",1 bath,318.0,Emmanuel,43610014,1.0,bath,43610014
81,236042405,33,Boucau,60%,100%,Entire home/apt,41,75.0,['phone'],1 bath,733.0,Eric,31503718,1.0,bath,31503718
82,373007932,15,L'HÃ´pital-Saint-Blaise,69%,100%,Entire home/apt,36,150.0,['phone'],2 baths,733.0,Alain,46017553,2.0,baths,46017553
83,129974705,21,Hendaye,98%,100%,Private room,50,59.0,"['email', 'phone']",1 shared bath,1000.0,Antonina,50463193,1.0,shared bath,50463193
84,343745057,48,Boucau,100%,100%,Entire home/apt,32,50.0,"['email', 'phone']",1 bath,854.0,Edite Et Xavier,43237503,1.0,bath,43237503
85,423021574,71,Biriatou,100%,97%,Private room,46,45.0,['phone'],1 shared bath,172.0,Eva,52594939,1.0,shared bath,52594939
86,43156819,0,Boucau,100%,100%,Entire home/apt,34,45.0,"['email', 'phone']",1 bath,619.0,Jacklin Oscar,703500086641964300,1.0,bath,703500086641964300
87,65046505,5,Sames,95%,100%,Entire home/apt,37,1850.0,"['email', 'phone', 'work_email']",8 baths,946.0,Eric & Remy,12123938,8.0,baths,12123938
88,80463557,32,Hendaye,100%,100%,Entire home/apt,25,207.0,"['email', 'phone']",3 baths,1000.0,"Smiling Rentals, S.L.",25819363,3.0,baths,25819363
89,60597806,4,Biarritz,89%,100%,Entire home/apt,22,189.0,"['email', 'phone']",1 bath,1000.0,Annick,11503789,1.0,bath,11503789
90,15215422,15,Boucau,100%,100%,Entire home/apt,40,45.0,"['email', 'phone']",1 bath,839.0,Delphine,49582890,1.0,bath,49582890
91,44480161,21,Boucau,88%,100%,Entire home/apt,39,130.0,"['email', 'phone']",2 baths,1000.0,Jean,37850920,2.0,baths,37850920
92,135810842,4,Bayonne,100%,100%,Entire home/apt,14,50.0,"['email', 'phone']",1 bath,373.0,Marie,25436977,1.0,bath,25436977
94,80463557,20,Hendaye,100%,100%,Entire home/apt,26,345.0,"['email', 'phone']",3 baths,1000.0,"Smiling Rentals, S.L.",44204787,3.0,baths,44204787
96,104363793,24,Boucau,100%,100%,Entire home/apt,53,50.0,"['email', 'phone']",1 bath,972.0,Catherine,16037868,1.0,bath,16037868
97,273061354,27,Sainte-EngrÃ¢ce,100%,100%,Entire home/apt,28,100.0,"['email', 'phone']",1 bath,886.0,Pascal,36308853,1.0,bath,36308853
98,7210097,2,Bayonne,100%,100%,Private room,11,60.0,"['email', 'phone']",1 shared bath,748.0,Christel,1329436,1.0,shared bath,1329436
99,1933529,29,Hendaye,99%,100%,Entire home/apt,31,163.0,"['email', 'phone']",1 bath,246.0,Ainhoa,35797819,1.0,bath,35797819
100,412022956,0,Boucau,0%,100%,Entire home/apt,13,236.0,['phone'],2 baths,433.0,Frederic,684982032236208588,2.0,baths,684982032236208588
101,258887134,15,Hendaye,81%,90%,Private room,16,33.0,"['email', 'phone', 'work_email']",1 shared 1 half-bath,1000.0,Tania,36843413,1.0,shared 1 half-bath,36843413
102,450120026,3,Hendaye,100%,100%,Entire home/apt,60,350.0,"['email', 'phone']",2 baths,1000.0,Marie,585188225305977855,2.0,baths,585188225305977855
104,418135407,2,Hendaye,100%,90%,Entire home/apt,26,179.0,"['email', 'phone']",1 bath,1000.0,Basquelidays,628931767667863090,1.0,bath,628931767667863090
105,11907466,25,Hendaye,40%,100%,Entire home/apt,25,141.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Igor,21109312,2.0,baths,21109312
106,17097809,5,Boucau,62%,100%,Entire home/apt,29,110.0,"['email', 'phone']",1 bath,808.0,Sarah,42489784,1.0,bath,42489784
107,259521434,86,Boucau,100%,100%,Entire home/apt,50,166.0,"['email', 'phone']",1 bath,895.0,Isabelle,34565348,1.0,bath,34565348
108,33228361,34,Hendaye,92%,90%,Entire home/apt,31,263.0,"['email', 'phone']",3 baths,737.0,Jorge,35891892,3.0,baths,35891892
109,78058732,11,Hendaye,100%,91%,Entire home/apt,22,122.0,"['email', 'phone']",1 bath,1000.0,Eva Y Mikel,23461870,1.0,bath,23461870
110,217183309,17,Hendaye,71%,100%,Entire home/apt,33,137.0,"['email', 'phone']",1 bath,712.0,Pino,28795295,1.0,bath,28795295
111,31471687,376,Boucau,100%,100%,Entire home/apt,32,49.0,"['email', 'phone']",1 bath,372.0,Helene,40396267,1.0,bath,40396267
112,463558534,6,Boucau,100%,100%,Entire home/apt,39,125.0,"['email', 'phone']",2 baths,529.0,Loic,646262588103725552,2.0,baths,646262588103725552
113,123839061,33,Hendaye,95%,100%,Entire home/apt,34,110.0,"['email', 'phone']",2 baths,1000.0,Chema,37961148,2.0,baths,37961148
115,152551202,68,Ainhoa,100%,100%,Entire home/apt,29,60.0,"['email', 'phone']",1 bath,282.0,Gema,24331684,1.0,bath,24331684
116,256203750,10,Boucau,100%,100%,Entire home/apt,32,50.0,"['email', 'phone']",1 bath,501.0,Hélène,683220423904728685,1.0,bath,683220423904728685
117,275733756,25,Boucau,100%,100%,Entire home/apt,37,84.0,"['email', 'phone']",1 bath,741.0,Evelyne,36685945,1.0,bath,36685945
118,78058732,42,Hendaye,100%,91%,Entire home/apt,25,275.0,"['email', 'phone']",3 baths,1000.0,Eva Y Mikel,20770212,3.0,baths,20770212
119,63281196,124,Hendaye,100%,100%,Entire home/apt,34,86.0,"['email', 'phone']",1 bath,306.0,Begoña,26032760,1.0,bath,26032760
120,48076175,40,Boucau,100%,100%,Entire home/apt,31,42.0,"['email', 'phone']",1.5 baths,486.0,Bertrand,18002982,1.5,baths,18002982
121,80463557,3,Hendaye,100%,100%,Entire home/apt,24,190.0,"['email', 'phone']",1 bath,1000.0,"Smiling Rentals, S.L.",34502928,1.0,bath,34502928
122,33626118,2,Boucau,75%,100%,Entire home/apt,40,109.0,"['email', 'phone']",1 bath,1000.0,Robin,568439589280933597,1.0,bath,568439589280933597
123,142982314,3,ArnÃ©guy,73%,100%,Entire home/apt,21,154.0,"['email', 'phone']",2 baths,1000.0,"Loic, Estelle & Co",29049477,2.0,baths,29049477
124,33838517,40,Biriatou,100%,100%,Entire home/apt,36,100.0,['phone'],1 bath,370.0,Ignacio,51596081,1.0,bath,51596081
125,43024389,0,Boucau,100%,100%,Entire home/apt,10,65.0,"['email', 'phone']",1 bath,507.0,Aleksandra,53805401,1.0,bath,53805401
126,407525660,15,Boucau,100%,100%,Entire home/apt,43,80.0,"['email', 'phone']",1 bath,1000.0,Christine,50448268,1.0,bath,50448268
127,186738323,27,Boucau,100%,100%,Entire home/apt,35,90.0,['phone'],1 bath,1000.0,Emmanuel,50625662,1.0,bath,50625662
128,152551202,17,Ainhoa,100%,100%,Entire home/apt,40,84.0,"['email', 'phone']",1 bath,60.0,Gema,50909132,1.0,bath,50909132
130,198792987,24,Boucau,100%,100%,Entire home/apt,22,64.0,['phone'],1 bath,149.0,José,51029889,1.0,bath,51029889
131,4524538,44,Boucau,100%,100%,Entire home/apt,63,139.0,"['email', 'phone']",1 bath,1000.0,Cécile Et Laurent,863373,1.0,bath,863373
132,2205453,12,ArnÃ©guy,100%,83%,Entire home/apt,34,166.0,"['email', 'phone']",1.5 baths,1000.0,Mendiola,443948,1.5,baths,443948
133,391817322,27,Hendaye,98%,100%,Entire home/apt,25,60.0,['phone'],1 bath,1000.0,Sara,48563245,1.0,bath,48563245
134,78058732,12,Hendaye,100%,91%,Entire home/apt,24,211.0,"['email', 'phone']",3 baths,1000.0,Eva Y Mikel,26792187,3.0,baths,26792187
135,260323156,4,Urt,13%,90%,Entire home/apt,43,700.0,"['email', 'phone']",3 baths,1000.0,Alix,44018321,3.0,baths,44018321
136,80463557,3,Hendaye,100%,100%,Entire home/apt,23,161.0,"['email', 'phone']",2 baths,1000.0,"Smiling Rentals, S.L.",666503391196524285,2.0,baths,666503391196524285
137,102583389,20,Hendaye,100%,100%,Entire home/apt,23,270.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Basque Stay,32176228,1.0,bath,32176228
138,89701429,4,Boucau,100%,100%,Entire home/apt,29,75.0,"['email', 'phone']",1 bath,315.0,Gérard,665098523200016043,1.0,bath,665098523200016043
139,128704103,24,Urt,78%,100%,Entire home/apt,18,80.0,"['email', 'phone']",1 bath,588.0,Laurent,18541528,1.0,bath,18541528
140,29515879,53,Boucau,92%,100%,Entire home/apt,30,75.0,"['email', 'phone']",1 bath,443.0,Béatrice,12727800,1.0,bath,12727800
144,88969242,3,Boucau,75%,0%,Entire home/apt,30,156.0,"['email', 'phone']",1 bath,472.0,Patrick,566470849605723815,1.0,bath,566470849605723815
145,89664280,259,Boucau,100%,100%,Entire home/apt,34,45.0,"['email', 'phone']",1 bath,578.0,Chantal,24612349,1.0,bath,24612349
146,206243972,5,Boucau,75%,100%,Entire home/apt,36,220.0,['phone'],1.5 baths,481.0,Antoine,574394642880853414,1.5,baths,574394642880853414
148,138601096,7,Boucau,27%,100%,Entire home/apt,34,60.0,"['email', 'phone']",1 bath,1000.0,Val,20653404,1.0,bath,20653404
149,56090637,5,Boucau,75%,100%,Entire home/apt,13,65.0,"['email', 'phone', 'work_email']",1 bath,793.0,Camille,48760176,1.0,bath,48760176
150,471902316,1,Bayonne,100%,100%,Entire home/apt,9,140.0,"['email', 'phone']",1 bath,458.0,Francisco,680472538298845815,1.0,bath,680472538298845815
151,189793846,12,Sames,88%,100%,Entire home/apt,41,90.0,['phone'],2 baths,953.0,Elizabeth,25109225,2.0,baths,25109225
152,117422992,9,Hendaye,99%,100%,Entire home/apt,31,226.0,"['email', 'phone', 'work_email']",2.5 baths,752.0,Basquenjoy,38371560,2.5,baths,38371560
153,98624659,0,ArnÃ©guy,100%,100%,Entire home/apt,18,329.0,"['email', 'phone']",10 baths,1000.0,Peio,587358032741878011,10.0,baths,587358032741878011
154,117422992,2,Hendaye,99%,100%,Entire home/apt,38,202.0,"['email', 'phone', 'work_email']",2 baths,122.0,Basquenjoy,630261423834844821,2.0,baths,630261423834844821
155,258887134,16,Hendaye,81%,90%,Private room,18,32.0,"['email', 'phone', 'work_email']",1 shared 1 half-bath,1000.0,Tania,36844662,1.0,shared 1 half-bath,36844662
158,90297355,39,Boucau,87%,100%,Entire home/apt,34,60.0,"['email', 'phone']",1 bath,755.0,Christopher,51881741,1.0,bath,51881741
159,182181821,6,Sames,83%,100%,Entire home/apt,50,86.0,"['email', 'phone']",1.5 baths,235.0,Jean-Philippe,50817324,1.5,baths,50817324
160,410994779,4,Hendaye,100%,100%,Entire home/apt,21,235.0,"['email', 'phone']",2 baths,1000.0,Derko,50839366,2.0,baths,50839366
162,33838517,16,Biriatou,100%,100%,Entire home/apt,32,94.0,['phone'],1 bath,454.0,Ignacio,51874803,1.0,bath,51874803
163,2205453,0,ArnÃ©guy,100%,83%,Entire home/apt,44,207.0,"['email', 'phone']",2 baths,120.0,Mendiola,27421365,2.0,baths,27421365
164,68364144,225,Boucau,99%,100%,Entire home/apt,49,65.0,"['email', 'phone']",1 bath,1000.0,Béatrice,12599230,1.0,bath,12599230
165,277931391,40,Boucau,87%,89%,Entire home/apt,31,60.0,"['email', 'phone']",1 bath,931.0,Philippe,36971264,1.0,bath,36971264
166,381946136,0,Boucau,87%,90%,Entire home/apt,53,650.0,['phone'],1.5 baths,145.0,Sci En Amor Sylvie,602873709228994196,1.5,baths,602873709228994196
167,20428341,71,Boucau,97%,100%,Entire home/apt,19,33.0,"['email', 'phone']",1 bath,722.0,Julien,19997668,1.0,bath,19997668
168,33838517,20,Biriatou,100%,100%,Entire home/apt,10,94.0,['phone'],1 bath,507.0,Ignacio,51686782,1.0,bath,51686782
169,410994779,3,Hendaye,100%,100%,Entire home/apt,21,217.0,"['email', 'phone']",2 baths,1000.0,Derko,51390069,2.0,baths,51390069
171,30833241,0,Boucau,33%,100%,Entire home/apt,43,60.0,"['email', 'phone']",1 bath,184.0,Catherine,575883606726542624,1.0,bath,575883606726542624
173,27724532,5,ArnÃ©guy,50%,100%,Entire home/apt,12,150.0,"['email', 'phone']",3 baths,518.0,Rosa,5349259,3.0,baths,5349259
174,282021372,9,Boucau,100%,100%,Entire home/apt,50,79.0,"['email', 'phone']",1 bath,1000.0,Muriel,53099864,1.0,bath,53099864
175,352658042,19,Hendaye,100%,100%,Entire home/apt,27,216.0,"['email', 'phone']",1 bath,419.0,Arantxa,44008429,1.0,bath,44008429
176,91478946,5,Boucau,100%,100%,Entire home/apt,55,200.0,"['email', 'phone', 'work_email']",2 baths,456.0,Sonia,620103613913587578,2.0,baths,620103613913587578
178,30833241,11,Boucau,33%,100%,Entire home/apt,37,350.0,"['email', 'phone']",4 baths,1000.0,Catherine,18956405,4.0,baths,18956405
179,433008401,0,Boucau,98%,100%,Entire home/apt,36,470.0,"['email', 'phone']",4 baths,1000.0,Bookiply,628785518003209443,4.0,baths,628785518003209443
180,7210097,11,Boucau,100%,100%,Private room,4,60.0,"['email', 'phone']",1 shared bath,55.0,Christel,669194990253762039,1.0,shared bath,669194990253762039
181,166076841,5,Hendaye,83%,100%,Entire home/apt,51,106.0,"['email', 'phone']",2 baths,1000.0,Jon,584538373121614680,2.0,baths,584538373121614680
182,266045736,1,Boucau,100%,100%,Entire home/apt,7,100.0,"['email', 'phone']",1 bath,86.0,Jenn,669445835835792709,1.0,bath,669445835835792709
183,117422992,5,Hendaye,99%,100%,Entire home/apt,40,205.0,"['email', 'phone', 'work_email']",2 baths,565.0,Basquenjoy,43891935,2.0,baths,43891935
184,54955723,4,Boucau,100%,100%,Entire home/apt,30,290.0,"['email', 'phone']",2 baths,542.0,Sandra,32683705,2.0,baths,32683705
185,469197028,25,Boucau,83%,100%,Entire home/apt,8,64.0,"['email', 'phone']",1.5 baths,193.0,Annie,669895718457695717,1.5,baths,669895718457695717
186,347421434,0,Boucau,50%,0%,Entire home/apt,60,160.0,"['email', 'phone']",2 baths,384.0,Sedigheh,48375154,2.0,baths,48375154
188,75982135,6,Boucau,85%,100%,Entire home/apt,34,87.0,"['email', 'phone']",1 bath,1000.0,Hélène,43486357,1.0,bath,43486357
189,75982135,5,Boucau,85%,100%,Entire home/apt,32,86.0,"['email', 'phone']",1 bath,1000.0,Hélène,44367070,1.0,bath,44367070
190,80463557,15,Hendaye,100%,100%,Entire home/apt,19,190.0,"['email', 'phone']",1 bath,1000.0,"Smiling Rentals, S.L.",19240710,1.0,bath,19240710
191,75982135,3,Boucau,85%,100%,Entire home/apt,53,89.0,"['email', 'phone']",1 bath,1000.0,Hélène,45049859,1.0,bath,45049859
193,80463557,21,Hendaye,100%,100%,Entire home/apt,25,345.0,"['email', 'phone']",3 baths,1000.0,"Smiling Rentals, S.L.",24619864,3.0,baths,24619864
195,80463557,1,Hendaye,100%,100%,Entire home/apt,21,190.0,"['email', 'phone']",1 bath,1000.0,"Smiling Rentals, S.L.",589240792765813181,1.0,bath,589240792765813181
196,23183320,19,Boucau,97%,100%,Entire home/apt,45,64.0,"['email', 'phone']",1 bath,48.0,Nicolas,52121363,1.0,bath,52121363
198,88467476,125,Hendaye,100%,100%,Entire home/apt,46,109.0,"['email', 'phone']",2 baths,1000.0,Marina,14818313,2.0,baths,14818313
199,175713256,18,Boucau,100%,100%,Entire home/apt,41,400.0,"['email', 'phone']",2 baths,1000.0,Isabelle,44995846,2.0,baths,44995846
200,10517536,0,Boucau,98%,80%,Entire home/apt,11,71.0,"['email', 'phone']",1 bath,253.0,Simon,707070180099882436,1.0,bath,707070180099882436
201,14229540,42,Bayonne,100%,100%,Entire home/apt,42,70.0,"['email', 'phone']",1 bath,1000.0,Helene Et Yves,24494387,1.0,bath,24494387
202,135355745,2,Boucau,98%,95%,Entire home/apt,11,15.0,"['email', 'phone']",1 bath,1000.0,Eulalie - Interhome Group,19519562,1.0,bath,19519562
203,305279719,68,Boucau,74%,100%,Entire home/apt,50,92.0,"['email', 'phone']",1 bath,1000.0,Corinne,43750338,1.0,bath,43750338
204,80463557,5,Hendaye,100%,100%,Entire home/apt,23,190.0,"['email', 'phone']",1 bath,1000.0,"Smiling Rentals, S.L.",43540070,1.0,bath,43540070
205,179979511,11,Boucau,80%,100%,Entire home/apt,39,300.0,"['email', 'phone']",1 bath,537.0,David,24701291,1.0,bath,24701291
206,79622461,55,Hendaye,67%,67%,Entire home/apt,32,125.0,"['email', 'phone']",2.5 baths,1000.0,Ignacio,13861146,2.5,baths,13861146
208,22430989,36,Boucau,60%,100%,Entire home/apt,49,85.0,"['email', 'phone']",1 bath,1000.0,Florence,32864206,1.0,bath,32864206
209,184945495,2,Boucau,99%,99%,Entire home/apt,23,106.0,"['email', 'phone']",2 baths,1000.0,Welkeys,600328616102735174,2.0,baths,600328616102735174
210,28438011,22,Boucau,47%,100%,Entire home/apt,74,262.0,"['email', 'phone']",3 baths,1000.0,Clementine,13241802,3.0,baths,13241802
212,57731075,59,Anglet,69%,90%,Entire home/apt,18,60.0,"['email', 'phone']",1 bath,644.0,Argitxu,19497014,1.0,bath,19497014
